Revenue (d2);Labor (l1);Variable Cost (n2a, n2e, n2f, n2b);Investment in new capital (n5a, n5b);Raw Materials Cost (n2e)
3000000000;80;2200000000;1250000000;1500000000
3000000000;36;2150000000;150000000;1500000000
3025999872;20;1468000000;0;1034000000
3035000064;60;2590000000;8920000128;1900000000
3080000000;90;1819000000;106000000;955000000
3088999936;152;2451000000;320000000;651000000
3089999872;74;4128000000;0;3648000000
3092999936;240;2697000000;1368000000;969000000
3100000000;25;2400000000;0;1600000000
3100000000;50;817000000;100000000;
3110000000;6;1700000000;600000000;0
3111000064;30;2791999872;0;2521999872
3121999872;161;2389000000;543000000;273000000
3148000000;270;2016000000;0;252000000
3164000000;30;1572000064;67000000;1375000064
3164000000;34;2704000000;32000000;2208000000
3164999936;32;2548000064;28000000;2111000064
3168000000;24;2601999936;0;2432999936
3200000000;6;115000000;0;
3200000000;170;2182700064;0;355700000
3200000000;6;182000000;100000000;
3200000000;33;2180000000;400000000;1280000000
3200000000;50;2579000064;225000000;2219000064
3200000000;40;2846000128;0;2150000128
3223000064;85;2246000064;0;1243000064
3232000000;62;2838000000;1294000000;1980000000
3260000000;18;2812999936;0;2280999936
3288999936;15;3174000000;0;2976000000
3300000000;30;4974000000;0;4700000000
3300000000;50;3080000000;504000000;2000000000
3300000000;30;2665000128;200000000;2422000128
3332000000;57;2283000000;100000000;1702000000
3337999872;13;3020000000;297000000;2014000000
3345000000;20;620000000;0;
3359000064;57;3555999872;3478000128;2641999872
3379000064;50;2981000064;0;2499000064
3383512064;17;2860451856;99200000;2615001856
3400000000;6;2020000000;0;1600000000
3400000000;50;6569000000;0;5500000000
3400000000;20;2028999936;40000000;1808999936
3415000064;30;2900000000;93000000;2500000000
3417999872;61;3099000064;649000000;2371000064
3488999936;17;3225000064;21000000;3035000064
3500000000;84;3850000000;500000000;2000000000
3500000000;30;1975000000;220000000;1000000000
3500000000;16;960000000;0;120000000
3500000000;8;2660000000;70000000;1700000000
3500000000;60;248000000;0;
3500000000;12;3002000000;0;2768000000
3500000000;30;1500000000;0;700000000
3500000000;18;1525000000;100000000;
3500000000;15;3600000000;0;2000000000
3500000000;10;2860000000;0;1500000000
3500000000;15;320000000;900000000;
3500000000;50;2000000000;0;
3500000000;42;2704000000;270000000;2308000000
3500000000;20;3052999936;400000000;2752999936
3500000000;28;2507999872;0;2289999872
3500000000;50;3977000064;568000000;1802000000
3515000064;99;2420000000;853000000;1594000000
3520000000;16;2616000000;38000000;2110000000
3553063202;20;3371704146;12000000;2948194146
3560000000;40;2940000000;3900000000;2600000000
3579000064;29;3555000128;0;3150000128
3600000000;35;571000000;0;
3600000000;13;680000000;1000000000;0
3600000000;120;2700000000;700000000;700000000
