Revenue (d2);Labor (l1);Variable Cost (n2a, n2e, n2f, n2b);Investment in new capital (n5a, n5b);Raw Materials Cost (n2e)
30000000000;9;4808000000;1000000000;4000000000
30000000000;96;3000000000;2000000000;
30000000000;90;18900000000;0;13000000000
30000000000;60;25080000000;0;15000000000
30000000000;50;0;1500000000;0
30000000000;108;20660000000;0;20000000000
30000000000;50;15300000000;4000000000;
30000000000;480;2888525000;0;
30000000000;270;23200000000;0;2000000000
30000000000;30;17100000000;0;14000000000
30000000000;30;4500000000;4000000000;
30000000000;70;23460000000;800000000;19500000000
30000000000;250;16300000000;10000000000;10000000000
30000000000;170;27980000000;0;21000000000
30000000000;60;23750000000;60000000;21000000000
30000000000;500;23620000000;475000000;320000000
30000000000;40;1350000000;3800000000;
30000000000;620;19840000000;170000000;300000000
30000000000;200;26400000000;2000000000;21000000000
30000000000;15;1500000000;0;
30000001024;62;23860000512;1400000000;23000000512
30000001024;520;20999999488;11000000000;13799999488
30048000000;167;25271999488;2288000000;21301999616
30062999552;41;28269198976;0;27727998976
30539999232;72;27900000896;4520000000;26850000896
30722000896;50;25700000768;11349999872;24500000768
30744999936;237;29507998976;13325000192;27151998976
30859999232;150;26758000128;1500000000;24028000256
31000000000;8;970000000;0;
31000000000;20;2652000000;0;
31000000000;53;21200000000;450000000;18000000000
31000000000;21;0;10200000000;
31000000000;22;1036000000;0;0
31000000512;185;17130000384;2000000000;15930000384
31062999040;60;30580999744;0;30019999744
31153000448;197;24167000064;1700000000;21717000192
31270000640;80;28499999744;0;26979999744
31499999232;800;28462000128;82749997056;16942000128
31844999168;200;26310000128;505000000;22240000000
32000000000;44;4000000000;0;
32000000000;150;6624000000;0;800000000
32000000000;50;6276000000;3000000000;5000000000
32000000000;80;26670000256;1000000000;25500000256
32000000000;7;27100000000;2000000000;13000000000
32000000000;83;2926000000;0;26000000
32000000000;450;31500000000;0;21000000000
32000000000;130;24959999488;220000000;23399999488
32000000000;66;24968000000;0;24000000000
32242999296;148;32327000832;3694072032;30939000832
32277000192;136;29325970640;8102804128;29318000640
32394000384;202;28122999808;763000000;23758999552
32500000768;600;28074999808;2909999936;19374999552
32560001024;220;30029999616;450000000;26229999616
32622000128;485;14046000128;5184000000;10958000128
32668000256;68;32032000384;0;31146000384
32740000000;8;27159000000;0;25670000000
32780000000;20;1003000000;0;
32850000000;40;7314000000;2000000000;2555000000
32999999488;240;27499999744;1500000000;24643999744
32999999488;550;30669999104;5500000000;22749999104
33000000000;120;0;850000000;0
33000000000;30;20300000000;0;18000000000
33000000000;134;33120000000;23000000000;30000000000
33000000000;21;31424000000;0;31000000000
33000000000;40;6428000000;3000000000;
33000000000;100;23080000000;8200000000;20000000000
33000000000;1000;27040000000;17000000000;0
33073000448;1035;19061999616;587000000;13226999808
33192000000;380;0;3800000000;0
33370000000;247;9845000000;2500000000;
33500000256;100;24854999296;3500000000;23449999360
33635000000;25;12100000000;0;0
33802999808;373;31200001024;1345000000;25442000896
33945999360;191;31493999360;7257000192;28761999360
33948000000;40;34381200000;0;30553200000
33999998976;481;20318000128;0;11717999616
